,external_author_id,author,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,account_type,retweet,account_category,new_june_2018,alt_external_id,tweet_id,article_url,tco1_step1,tco2_step1,tco3_step1
724684,2630842499,DAILYSANDIEGO,AP EXPLAINS: How much money you just saved on gas in 2015  #business,United States,English,1/1/2016 22:49,1/1/2016 22:51,7031,12213,10363,,local,0,NewsFeed,0,2630842499,683057551915655168,http://twitter.com/DailySanDiego/statuses/683057551915655168,,,
724685,2630842499,DAILYSANDIEGO,#politics Skywriters Scold 'Disgusting' Donald Trump Over LA,United States,English,1/1/2016 23:42,1/1/2016 23:42,7031,12213,10364,,local,0,NewsFeed,0,2630842499,683070747196043264,http://twitter.com/DailySanDiego/statuses/683070747196043264,,,
724686,2630842499,DAILYSANDIEGO,Jeff gets rolling for first day at auto show  #local #SanDiego,United States,English,1/1/2016 2:39,1/1/2016 2:39,7034,12206,10346,,local,0,NewsFeed,0,2630842499,682752862003187713,http://twitter.com/DailySanDiego/statuses/682752862003187713,,,
724687,2630842499,DAILYSANDIEGO,AP EXPLAINS: How much money you just saved on gas in 2015  #business,United States,English,1/1/2016 5:06,1/1/2016 5:06,7033,12209,10347,,local,0,NewsFeed,0,2630842499,682789904456101888,http://twitter.com/DailySanDiego/statuses/682789904456101888,,,
724688,2630842499,DAILYSANDIEGO,Q&A: A look at how the federal law regards hate speech  #politics,United States,English,1/1/2016 8:59,1/1/2016 8:59,7032,12211,10348,,local,0,NewsFeed,0,2630842499,682848653178830848,http://twitter.com/DailySanDiego/statuses/682848653178830848,,,
739046,2495567768,DAILYSANFRAN,New Year’s Eve: KRON4 is your party central for the biggest celebration of the year  #news,United States,English,1/1/2016 0:24,1/1/2016 0:24,5258,13459,20173,,local,0,NewsFeed,0,2495567768,682719029375545344,http://twitter.com/DailySanFran/statuses/682719029375545344,,,
739047,2495567768,DAILYSANFRAN,First Bay Area baby of 2016 arrives at stroke of midnight  #news,United States,English,1/1/2016 12:25,1/1/2016 12:25,5255,13458,20196,,local,0,NewsFeed,0,2495567768,682900541295341572,http://twitter.com/DailySanFran/statuses/682900541295341572,,,
739048,2495567768,DAILYSANFRAN,Obama says he'll meet with attorney general on gun options  #politics,United States,English,1/1/2016 12:49,1/1/2016 12:49,5255,13458,20197,,local,0,NewsFeed,0,2495567768,682906471609184257,http://twitter.com/DailySanFran/statuses/682906471609184257,,,
739049,2495567768,DAILYSANFRAN,"Police reviewing use of force policies, meeting with black community leaders after Mario Woods shooting  #news",United States,English,1/1/2016 13:55,1/1/2016 13:55,5255,13459,20199,,local,0,NewsFeed,0,2495567768,682923161227149312,http://twitter.com/DailySanFran/statuses/682923161227149312,,,
739050,2495567768,DAILYSANFRAN,Obama says he’ll meet with attorney general on gun options  #news,United States,English,1/1/2016 14:34,1/1/2016 14:35,5255,13459,20200,,local,0,NewsFeed,0,2495567768,682933035856052225,http://twitter.com/DailySanFran/statuses/682933035856052225,,,
